throughput_mbps,congestion_ratio,packet_loss_percent,latency_ms,jitter_ms,line_down
24.21,0.2421,10.93,42.2,4.88,0
37.56,0.3756,1.95,2.72,2.21,0
56.43,0.5643,6.76,29.3,4.44,0
38.93,0.3893,8.48,38.21,5.26,0
69.22,0.6922,6.79,22.38,3.45,0
68.23,0.6823,6.04,8.83,2.51,0
13.44,0.1344,7.24,40.53,5.32,0
51.35,0.5135,4.19,15.48,3.36,0
17.12,0.1712,14.24,40.93,4.54,1
58.94,0.5894,9.19,13.52,2.27,0
86.35,0.8635,7.57,41.39,5.37,0
25.94,0.2594,8.54,18.92,2.18,0
19.83,0.1983,3.23,2.83,0.32,0
24.25,0.2425,5.28,11.95,3.11,0
49.38,0.4938,10.44,33.67,3.52,0
29.22,0.2922,4.37,14.51,1.67,0
60.47,0.6047,9.34,21.48,3.74,0
56.22,0.5622,5.71,26.7,3.5,0
73.63,0.7363,4.96,14.06,3.27,0
72.16,0.7216,5.56,27.77,3.45,0
27.47,0.2747,14.08,54.45,6.95,1
61.29,0.6129,3.75,24.18,4.11,0
62.4,0.624,8.48,26.73,3.69,0
54.34,0.5434,6.23,8.29,1.5,0
55.89,0.5589,1.68,30.48,3.69,0
73.3,0.733,8.26,17.99,3.66,0
15.56,0.1556,11.0,18.69,2.97,0
35.52,0.3552,5.06,8.65,2.6,0
26.98,0.2698,8.91,11.66,1.25,0
53.25,0.5325,11.11,44.43,6.42,1
50.83,0.5083,4.79,36.04,3.77,0
17.24,0.1724,4.27,8.33,1.47,0
68.88,0.6888,2.84,18.36,3.76,0
41.49,0.4149,8.15,33.18,4.23,0
31.77,0.3177,6.58,25.06,3.01,0
31.8,0.318,3.33,34.17,3.98,0
27.99,0.2799,7.68,26.42,4.52,0
32.43,0.3243,5.69,10.02,2.0,0
30.91,0.3091,7.39,10.26,2.09,0
68.24,0.6824,6.31,20.8,2.44,0
42.68,0.4268,7.29,24.24,3.65,0
68.41,0.6841,5.46,23.04,3.18,0
19.85,0.1985,0.26,22.58,3.94,0
21.11,0.2111,7.86,27.37,3.96,0
20.96,0.2096,8.15,30.15,3.54,0
70.27,0.7027,3.17,24.13,3.34,0
33.31,0.3331,11.69,42.02,4.9,0
24.99,0.2499,7.14,14.37,3.29,0
50.36,0.5036,5.15,14.97,2.7,0
23.72,0.2372,7.21,21.87,3.25,0
37.92,0.3792,5.75,20.08,2.06,0
59.42,0.5942,7.08,31.94,5.17,0
49.51,0.4951,5.53,13.7,2.69,0
17.23,0.1723,8.31,36.0,4.23,0
21.68,0.2168,0.32,16.08,3.08,0
41.09,0.4109,7.67,26.49,3.17,0
34.82,0.3482,10.04,25.99,4.19,0
53.16,0.5316,8.19,22.31,4.04,0
22.08,0.2208,7.63,13.48,2.71,0
80.37,0.8037,3.37,25.5,3.57,0
65.03,0.6503,6.5,21.32,4.0,0
85.48,0.8548,4.77,31.5,3.31,0
19.89,0.1989,8.76,25.56,3.07,0
68.35,0.6835,2.54,22.97,2.78,0
49.93,0.4993,7.22,11.16,2.28,0
78.47,0.7847,1.31,23.06,3.34,0
53.58,0.5358,9.63,23.47,3.46,0
71.8,0.718,3.61,21.04,3.44,0
70.33,0.7033,4.57,30.0,4.02,0
15.82,0.1582,8.18,30.75,3.68,0
20.91,0.2091,15.1,30.91,4.46,1
72.6,0.726,5.93,17.62,3.65,0
40.01,0.4001,3.39,11.14,2.75,0
73.76,0.7376,5.32,2.53,0.9,0
28.82,0.2882,6.81,29.68,4.18,0
85.38,0.8538,7.11,20.9,3.36,0
85.33,0.8533,0.8,19.58,3.03,0
40.42,0.4042,5.97,11.9,2.64,0
78.64,0.7864,5.18,10.17,1.32,0
73.08,0.7308,8.59,26.0,3.62,0
30.44,0.3044,6.64,30.4,5.03,0
67.54,0.6754,2.7,7.41,1.55,0
59.41,0.5941,9.5,39.66,4.72,0
87.29,0.8729,4.21,11.7,2.97,0
32.95,0.3295,4.57,27.49,4.38,0
71.55,0.7155,3.05,20.4,3.11,0
47.69,0.4769,3.57,9.24,0.99,0
31.23,0.3123,3.15,25.23,4.11,0
24.1,0.241,5.12,26.44,4.56,0
66.93,0.6693,5.85,39.73,5.57,0
74.18,0.7418,6.95,20.9,2.11,0
43.71,0.4371,7.8,33.89,5.26,0
17.83,0.1783,11.17,19.46,2.29,0
29.33,0.2933,7.54,15.0,2.02,0
18.71,0.1871,7.35,41.93,5.06,0
32.76,0.3276,5.3,31.14,4.8,0
24.25,0.2425,3.32,12.19,1.43,0
43.29,0.4329,10.22,21.17,3.32,0
58.35,0.5835,6.53,29.4,3.18,0
57.49,0.5749,4.78,24.94,2.88,0
63.05,0.6305,7.8,41.82,4.44,0
81.01,0.8101,4.56,22.94,2.47,0
55.88,0.5588,10.87,31.16,3.47,0
26.07,0.2607,8.12,16.85,2.9,0
21.52,0.2152,6.25,19.35,3.45,0
49.98,0.4998,4.93,15.47,2.91,0
19.08,0.1908,8.37,29.98,3.44,0
60.09,0.6009,2.26,5.41,0.67,0
70.87,0.7087,9.29,33.78,3.51,0
67.16,0.6716,4.84,28.67,3.04,0
51.93,0.5193,5.33,28.93,3.39,0
41.71,0.4171,4.46,16.37,3.55,0
95.0,0.95,1.43,20.03,2.27,0
63.53,0.6353,4.03,25.75,4.4,0
59.77,0.5977,12.35,36.42,5.12,0
54.52,0.5452,14.74,44.97,4.99,1
76.46,0.7646,6.78,12.7,3.18,0
56.07,0.5607,6.02,24.36,2.83,0
70.91,0.7091,9.62,25.61,2.97,0
26.27,0.2627,2.62,7.68,1.4,0
43.06,0.4306,5.45,22.18,4.2,0
46.51,0.4651,5.12,11.24,2.37,0
84.53,0.8453,4.94,15.74,3.52,0
72.62,0.7262,8.41,13.08,3.11,0
47.85,0.4785,10.68,30.82,3.24,0
64.44,0.6444,10.45,41.0,6.03,0
65.57,0.6557,2.84,15.84,1.89,0
33.44,0.3344,2.9,18.36,3.7,0
56.33,0.5633,8.73,23.75,3.33,0
72.25,0.7225,5.44,28.08,4.14,0
37.6,0.376,8.39,27.59,3.14,0
36.69,0.3669,2.06,6.59,2.33,0
61.11,0.6111,9.8,34.61,4.08,0
76.73,0.7673,5.69,14.3,2.87,0
29.59,0.2959,6.52,36.09,5.25,0
49.23,0.4923,5.39,37.32,5.38,0
31.54,0.3154,8.24,20.47,3.8,0
57.02,0.5702,4.69,17.81,2.76,0
35.27,0.3527,6.36,15.57,1.74,0
68.65,0.6865,9.63,35.43,3.73,0
25.92,0.2592,5.84,17.12,3.09,0
55.87,0.5587,5.54,31.96,3.49,0
34.64,0.3464,4.56,9.03,1.27,0
61.24,0.6124,3.65,31.05,4.52,0
28.48,0.2848,7.62,41.34,6.06,0
19.24,0.1924,6.05,24.09,4.34,0
85.41,0.8541,4.75,18.11,2.29,0
26.31,0.2631,6.84,21.88,2.98,0
22.86,0.2286,8.77,25.99,4.58,0
27.74,0.2774,1.43,14.6,2.03,0
71.43,0.7143,7.86,22.01,2.68,0
36.93,0.3693,5.93,15.94,1.92,0
59.01,0.5901,13.56,45.86,6.16,0
39.14,0.3914,9.41,32.19,3.81,0
32.05,0.3205,5.28,16.45,3.55,0
50.6,0.506,4.61,17.32,3.63,0
25.43,0.2543,6.45,31.31,4.53,0
36.44,0.3644,3.18,18.99,2.66,0
67.79,0.6779,2.64,24.31,3.27,0
46.3,0.463,10.56,29.63,4.29,0
23.8,0.238,6.64,21.66,3.1,0
28.6,0.286,9.0,17.42,2.72,0
32.67,0.3267,11.09,45.62,5.53,0
73.63,0.7363,7.6,16.45,2.74,0
49.47,0.4947,7.39,13.89,3.04,0
26.18,0.2618,5.89,37.61,4.8,0
22.37,0.2237,7.25,17.35,3.69,0
45.39,0.4539,3.75,16.33,2.69,0
33.36,0.3336,7.63,40.68,6.05,0
69.62,0.6962,8.04,28.51,2.85,0
51.4,0.514,5.78,1.02,2.09,0
54.41,0.5441,5.11,10.54,1.91,0
52.86,0.5286,4.45,19.18,2.03,0
28.42,0.2842,12.44,27.73,3.87,0
29.93,0.2993,3.6,22.49,2.85,0
23.16,0.2316,8.14,25.42,3.6,0
25.58,0.2558,3.61,10.78,1.15,0
50.11,0.5011,5.11,29.69,3.25,0
62.3,0.623,8.0,34.35,5.24,0
64.66,0.6466,1.32,9.88,1.15,0
22.05,0.2205,5.2,9.36,2.53,0
28.51,0.2851,11.29,37.65,4.24,0
36.95,0.3695,5.01,36.6,5.3,0
36.59,0.3659,8.03,37.11,4.68,0
21.37,0.2137,5.36,15.88,3.55,0
82.36,0.8236,4.93,28.42,4.65,0
62.24,0.6224,2.77,21.53,3.76,0
20.0,0.2,5.45,30.12,3.79,0
38.19,0.3819,7.0,29.56,3.22,0
49.0,0.49,12.24,33.81,4.49,0
70.29,0.7029,7.11,20.9,2.5,0
37.55,0.3755,5.8,12.91,1.33,0
43.87,0.4387,5.59,35.3,4.08,0
64.23,0.6423,6.39,20.9,3.55,0
60.18,0.6018,0.84,21.22,2.31,0
69.08,0.6908,6.8,17.8,2.95,0
49.64,0.4964,5.44,24.45,4.28,0
60.34,0.6034,4.33,10.25,1.41,0
66.52,0.6652,3.2,22.86,3.22,0
18.42,0.1842,9.3,28.05,3.0,0
66.24,0.6624,3.14,15.66,3.04,0
70.05,0.7005,4.6,15.57,3.44,0
14.98,0.1498,9.78,37.16,4.49,0
91.98,0.9198,0.72,16.32,3.2,0
23.99,0.2399,7.06,29.73,4.37,0
79.6,0.796,5.84,31.37,4.25,0
70.31,0.7031,6.38,20.5,3.24,0
72.26,0.7226,1.64,3.95,1.4,0
43.81,0.4381,4.28,30.42,4.28,0
69.67,0.6967,3.55,25.32,3.06,0
75.82,0.7582,6.13,22.3,3.06,0
46.74,0.4674,11.07,31.52,4.43,0
69.41,0.6941,4.34,21.8,3.98,0
63.16,0.6316,3.75,9.34,1.27,0
60.76,0.6076,4.16,15.37,1.78,0
44.71,0.4471,7.13,14.22,2.33,0
30.52,0.3052,11.18,20.77,2.43,0
69.13,0.6913,4.71,26.59,3.35,0
16.67,0.1667,8.41,39.31,5.74,0
91.79,0.9179,4.36,21.35,2.63,0
27.73,0.2773,3.9,20.58,3.58,0
34.96,0.3496,4.57,17.33,2.93,0
50.51,0.5051,4.11,7.77,2.29,0
20.41,0.2041,3.0,34.67,3.68,0
78.3,0.783,3.32,35.72,4.15,0
19.72,0.1972,4.81,36.65,4.93,0
42.92,0.4292,9.09,13.88,1.66,0
85.44,0.8544,6.13,32.17,4.73,0
14.84,0.1484,7.26,13.46,3.0,0
67.6,0.676,1.57,14.6,2.14,0
87.93,0.8793,7.27,6.9,2.33,0
53.97,0.5397,4.74,26.36,2.71,0
21.13,0.2113,7.25,29.61,2.98,0
22.92,0.2292,9.09,37.49,4.31,0
53.96,0.5396,4.46,28.06,4.71,0
35.07,0.3507,6.47,30.51,4.85,0
69.7,0.697,5.19,38.67,4.03,0
21.91,0.2191,5.13,20.24,3.81,0
22.05,0.2205,7.65,12.98,2.83,0
28.91,0.2891,9.17,41.77,5.18,0
77.79,0.7779,7.43,17.75,3.34,0
42.48,0.4248,3.6,21.84,3.96,0
27.54,0.2754,5.71,25.26,3.41,0
62.96,0.6296,4.6,20.26,2.16,0
73.5,0.735,4.46,10.59,2.05,0
56.78,0.5678,9.53,31.71,3.76,0
62.85,0.6285,8.55,33.51,4.37,0
56.82,0.5682,4.83,14.5,2.53,0
51.57,0.5157,4.37,28.24,3.82,0
23.75,0.2375,2.52,22.84,4.09,0
45.58,0.4558,3.34,33.64,5.14,0
57.47,0.5747,6.1,16.26,3.19,0
21.61,0.2161,8.41,25.4,3.13,0
52.44,0.5244,5.71,17.19,2.68,0
77.66,0.7766,3.55,8.15,2.58,0
26.21,0.2621,1.64,17.88,2.12,0
18.63,0.1863,5.7,16.81,2.57,0
49.73,0.4973,0.33,9.18,2.55,0
63.7,0.637,4.99,28.23,4.26,0
68.76,0.6876,5.99,24.7,4.4,0
66.86,0.6686,13.26,50.67,5.52,0
59.01,0.5901,12.36,42.94,5.46,0
24.71,0.2471,8.16,38.84,5.73,0
73.4,0.734,3.5,24.36,2.86,0
57.3,0.573,10.57,33.86,3.41,0
43.0,0.43,4.63,8.27,1.54,0
31.21,0.3121,4.65,28.67,3.38,0
32.02,0.3202,6.61,32.05,3.4,0
54.31,0.5431,8.69,23.2,3.42,0
40.99,0.4099,4.75,30.86,3.72,0
46.85,0.4685,10.35,34.51,4.76,0
54.93,0.5493,3.99,4.87,0.66,0
70.03,0.7003,9.59,29.78,3.99,0
76.94,0.7694,9.0,12.41,2.26,0
48.93,0.4893,4.57,15.54,3.14,0
52.27,0.5227,10.09,23.19,2.92,0
44.8,0.448,4.89,16.73,2.24,0
28.19,0.2819,7.59,26.64,4.03,0
48.19,0.4819,12.35,42.47,4.38,1
59.39,0.5939,2.68,20.33,3.88,0
34.04,0.3404,12.83,42.17,4.44,0
73.71,0.7371,8.39,24.64,4.03,0
55.97,0.5597,7.06,24.37,2.97,0
44.08,0.4408,9.75,39.8,4.77,0
77.14,0.7714,0.35,15.85,2.18,0
83.65,0.8365,4.57,10.23,2.94,0
75.95,0.7595,3.86,16.67,2.43,0
68.84,0.6884,6.32,19.28,2.54,0
24.75,0.2475,7.33,43.22,4.8,0
57.03,0.5703,4.16,31.32,4.31,0
73.31,0.7331,10.24,17.04,1.96,0
49.34,0.4934,3.05,30.96,3.21,0
18.66,0.1866,3.32,10.81,2.26,0
37.61,0.3761,4.16,14.63,1.74,0
50.47,0.5047,6.63,32.0,3.77,0
37.1,0.371,4.7,14.25,2.0,0
76.87,0.7687,7.75,22.42,2.26,0
54.51,0.5451,4.48,32.92,5.06,0
76.44,0.7644,3.66,2.95,0.73,0
76.35,0.7635,3.73,20.36,3.88,0
80.92,0.8092,2.78,18.98,2.9,0
68.98,0.6898,4.52,28.25,2.9,0
30.93,0.3093,4.74,3.14,2.07,0
40.67,0.4067,4.08,27.75,4.45,0
77.66,0.7766,3.61,27.31,3.6,0
73.42,0.7342,3.0,31.02,4.29,0
51.49,0.5149,7.1,21.58,3.5,0
61.59,0.6159,10.89,45.18,4.6,0
67.21,0.6721,4.3,23.56,3.41,0
36.49,0.3649,11.1,37.5,4.59,0
68.57,0.6857,4.69,28.71,4.29,0
24.29,0.2429,8.37,21.79,4.16,0
39.94,0.3994,4.49,30.83,3.25,0
48.38,0.4838,6.35,18.41,3.24,0
23.54,0.2354,7.22,17.21,2.88,0
27.33,0.2733,11.54,26.44,3.54,0
91.97,0.9197,5.3,23.9,4.11,0
16.02,0.1602,8.91,44.77,6.34,0
20.19,0.2019,11.14,16.48,2.98,0
70.06,0.7006,3.82,30.19,4.77,0
59.07,0.5907,11.92,37.44,5.2,0
61.54,0.6154,2.18,16.7,2.89,0
38.84,0.3884,5.5,22.01,2.98,0
39.55,0.3955,7.09,34.08,5.1,0
30.14,0.3014,11.21,29.53,3.38,0
44.95,0.4495,5.93,40.29,5.39,0
23.47,0.2347,6.86,28.47,2.89,0
80.17,0.8017,4.15,37.43,4.42,0
28.31,0.2831,3.06,4.67,1.3,0
43.81,0.4381,5.94,28.22,4.29,0
48.61,0.4861,6.84,13.01,2.23,0
20.08,0.2008,6.39,20.59,3.82,0
16.87,0.1687,8.44,12.84,2.04,0
22.05,0.2205,5.59,35.91,4.18,0
22.58,0.2258,6.4,9.9,2.59,0
49.84,0.4984,10.61,20.81,3.09,0
44.07,0.4407,5.61,7.31,1.25,0
59.98,0.5998,9.22,24.98,3.37,0
59.46,0.5946,4.74,22.31,3.57,0
63.05,0.6305,6.63,24.09,3.63,0
40.04,0.4004,3.27,15.06,2.07,0
89.68,0.8968,7.38,33.35,3.34,0
30.18,0.3018,13.12,39.07,4.46,0
15.12,0.1512,6.06,22.36,2.76,0
47.63,0.4763,13.41,33.47,5.11,0
81.77,0.8177,3.67,25.46,4.34,0
26.55,0.2655,8.73,37.99,4.4,0
25.13,0.2513,6.54,12.28,1.63,0
38.25,0.3825,4.43,28.39,3.27,0
27.98,0.2798,9.02,20.2,3.66,0
61.43,0.6143,8.94,36.93,4.37,0
24.52,0.2452,7.81,19.37,1.99,0
28.85,0.2885,7.24,25.69,3.52,0
31.18,0.3118,7.08,23.75,2.68,0
38.6,0.386,5.66,33.82,3.87,0
39.94,0.3994,5.14,35.49,4.5,0
69.74,0.6974,5.86,33.49,3.71,0
47.65,0.4765,5.28,11.66,1.37,0
86.87,0.8687,9.57,25.51,3.25,0
64.57,0.6457,9.09,34.3,4.6,0
92.73,0.9273,0.79,23.48,2.53,0
74.88,0.7488,7.86,23.39,2.37,0
37.18,0.3718,4.43,15.52,2.0,0
47.91,0.4791,3.85,15.45,3.52,0
37.06,0.3706,9.26,16.5,2.83,0
89.37,0.8937,6.34,17.3,2.7,0
38.73,0.3873,4.84,7.09,1.38,0
36.52,0.3652,9.42,34.81,5.38,0
39.87,0.3987,11.1,34.37,5.38,0
45.59,0.4559,5.99,20.54,3.59,0
73.08,0.7308,3.57,24.6,3.27,0
70.64,0.7064,6.58,19.12,3.08,0
21.77,0.2177,5.93,29.01,4.84,0
63.93,0.6393,5.19,37.83,4.29,0
45.57,0.4557,2.5,30.79,4.56,0
26.34,0.2634,10.93,43.88,4.64,0
37.44,0.3744,10.08,21.91,3.69,0
26.02,0.2602,2.56,11.06,2.46,0
26.89,0.2689,3.39,13.3,1.6,0
22.02,0.2202,7.73,26.34,4.55,0
24.9,0.249,6.96,30.14,3.53,0
38.57,0.3857,5.75,27.24,4.35,0
35.5,0.355,8.63,20.68,3.24,0
46.51,0.4651,6.13,26.18,2.91,0
22.65,0.2265,4.49,15.17,1.58,0
26.95,0.2695,8.57,34.48,3.8,0
77.76,0.7776,6.18,30.92,3.65,0
28.39,0.2839,8.71,24.49,2.9,0
49.36,0.4936,8.09,25.65,3.2,0
43.18,0.4318,8.94,11.83,2.16,0
39.0,0.39,7.8,38.36,4.58,0
44.86,0.4486,10.05,23.45,2.47,0
25.53,0.2553,4.87,14.58,2.85,0
38.31,0.3831,6.9,16.43,2.81,0
28.3,0.283,4.41,17.83,1.82,0
93.34,0.9334,4.35,5.55,1.27,0
35.3,0.353,0.34,1.62,1.57,0
24.76,0.2476,8.77,27.98,4.33,0
21.51,0.2151,7.95,30.46,4.3,0
55.6,0.556,6.22,23.15,4.26,0
66.85,0.6685,7.45,17.32,2.77,0
39.27,0.3927,3.12,36.59,5.04,0
71.63,0.7163,5.26,36.64,5.24,0
50.15,0.5015,11.18,23.39,2.93,0
43.03,0.4303,9.28,48.82,6.31,0
32.29,0.3229,14.01,55.83,7.17,1
22.95,0.2295,7.07,45.74,5.24,0
52.84,0.5284,2.94,25.44,2.88,0
69.05,0.6905,2.48,11.52,2.3,0
59.95,0.5995,3.15,27.51,2.93,0
56.11,0.5611,10.84,37.62,4.09,0
37.16,0.3716,6.64,17.55,2.59,0
30.22,0.3022,10.3,29.85,3.41,0
70.78,0.7078,1.49,2.41,0.59,0
50.45,0.5045,5.34,19.89,3.29,0
49.99,0.4999,5.31,20.22,2.33,0
75.05,0.7505,0.27,2.27,2.12,0
79.84,0.7984,0.91,15.98,2.48,0
15.94,0.1594,8.68,14.48,1.8,0
55.87,0.5587,6.58,27.68,4.67,0
43.14,0.4314,6.15,7.29,0.88,0
35.62,0.3562,4.03,41.34,4.41,0
65.44,0.6544,4.3,12.48,1.52,0
75.24,0.7524,6.96,9.17,1.55,0
25.31,0.2531,8.95,38.16,5.0,0
46.19,0.4619,5.33,21.54,3.15,0
80.28,0.8028,2.64,6.69,0.77,0
71.18,0.7118,9.82,38.87,5.66,0
26.57,0.2657,5.43,25.51,3.47,0
68.39,0.6839,5.6,30.24,4.91,0
63.81,0.6381,6.61,34.68,5.02,0
34.51,0.3451,1.97,9.01,1.13,0
45.15,0.4515,3.72,10.47,1.92,0
28.26,0.2826,11.67,42.13,5.52,0
87.44,0.8744,3.36,22.88,2.81,0
39.09,0.3909,14.73,31.22,3.27,1
46.46,0.4646,1.9,27.4,2.84,0
35.89,0.3589,8.75,24.96,2.83,0
67.76,0.6776,9.44,39.39,5.89,0
30.74,0.3074,4.65,14.17,2.84,0
21.28,0.2128,7.21,13.53,2.02,0
31.01,0.3101,6.05,29.9,3.09,0
35.02,0.3502,8.31,46.17,5.27,0
28.59,0.2859,2.83,8.75,1.14,0
52.59,0.5259,16.41,32.76,3.93,1
89.05,0.8905,3.9,20.74,3.96,0
33.01,0.3301,8.7,16.21,3.1,0
89.26,0.8926,0.39,29.55,4.09,0
24.05,0.2405,3.62,34.69,4.5,0
40.3,0.403,1.62,12.24,2.43,0
39.24,0.3924,4.98,41.06,4.57,0
33.16,0.3316,7.07,26.49,4.16,0
74.84,0.7484,1.52,13.61,3.23,0
42.1,0.421,1.73,25.09,3.31,0
52.69,0.5269,1.9,4.52,0.98,0
62.51,0.6251,3.59,10.05,2.62,0
18.51,0.1851,3.28,24.55,2.63,0
70.42,0.7042,6.49,26.0,3.78,0
66.19,0.6619,9.41,22.44,2.68,0
66.77,0.6677,8.05,34.52,4.32,0
32.98,0.3298,3.7,12.0,2.82,0
21.21,0.2121,7.01,34.6,4.87,0
57.56,0.5756,8.42,29.23,3.61,0
37.97,0.3797,11.06,44.54,5.11,0
66.5,0.665,5.55,18.02,2.53,0
40.12,0.4012,1.02,27.38,3.41,0
76.87,0.7687,9.01,26.53,3.51,0
59.12,0.5912,2.4,5.95,1.32,0
20.34,0.2034,4.68,5.68,0.94,0
60.09,0.6009,3.83,28.3,3.52,0
34.03,0.3403,7.74,23.85,3.14,0
21.01,0.2101,5.65,23.37,3.94,0
76.71,0.7671,2.01,25.25,2.98,0
53.52,0.5352,2.95,15.91,3.48,0
21.13,0.2113,4.28,8.49,2.17,0
54.7,0.547,9.32,23.05,2.63,0
82.25,0.8225,1.69,15.95,1.92,0
77.88,0.7788,4.41,21.34,3.22,0
42.87,0.4287,8.15,19.98,3.37,0
16.97,0.1697,11.16,40.34,4.63,0
53.35,0.5335,6.37,29.94,4.8,0
75.55,0.7555,9.29,37.55,4.2,0
31.18,0.3118,0.71,21.07,3.8,0
71.32,0.7132,9.37,41.82,4.66,0
15.02,0.1502,13.44,37.59,5.35,0
17.97,0.1797,9.09,27.59,4.36,0
22.3,0.223,5.49,32.43,4.6,0
90.91,0.9091,4.74,30.95,4.35,0
28.64,0.2864,2.67,17.24,2.36,0
66.3,0.663,7.8,24.5,3.77,0
51.68,0.5168,1.98,18.85,3.18,0
60.78,0.6078,10.1,25.72,2.93,0
77.05,0.7705,4.31,4.72,1.47,0
31.56,0.3156,6.75,14.77,2.62,0
70.69,0.7069,4.72,29.76,3.31,0
79.98,0.7998,6.16,24.49,3.4,0
63.26,0.6326,7.53,34.44,4.02,0
34.24,0.3424,4.48,1.96,0.7,0
25.36,0.2536,1.6,27.93,2.84,0
59.39,0.5939,6.33,19.28,2.32,0
57.68,0.5768,7.75,15.58,2.4,0
77.07,0.7707,4.04,9.12,1.67,0
27.41,0.2741,11.93,24.72,2.95,0
75.41,0.7541,5.94,29.15,3.5,0
72.98,0.7298,6.0,26.92,3.94,0
80.41,0.8041,6.32,7.54,1.27,0
42.56,0.4256,8.24,13.58,2.48,0
63.09,0.6309,8.98,31.48,3.29,0
65.29,0.6529,6.95,16.53,3.41,0
18.4,0.184,5.41,30.26,4.49,0
55.52,0.5552,3.04,36.62,5.47,0
43.78,0.4378,14.06,42.67,5.1,1
69.21,0.6921,8.55,12.31,2.56,0
82.37,0.8237,6.27,29.38,3.77,0
47.96,0.4796,6.1,29.91,3.35,0
55.14,0.5514,7.31,29.01,4.48,0
64.32,0.6432,5.56,32.48,4.38,0
17.41,0.1741,8.22,37.68,4.35,0
52.43,0.5243,3.79,8.19,2.59,0
33.19,0.3319,6.58,34.83,5.0,0
29.82,0.2982,5.32,13.28,2.8,0
51.6,0.516,3.55,13.22,1.8,0
52.78,0.5278,7.07,21.12,3.07,0
33.27,0.3327,8.78,20.28,2.89,0
83.38,0.8338,8.35,33.34,4.42,0
26.62,0.2662,7.41,19.53,3.1,0
39.63,0.3963,11.02,32.84,4.03,0
40.85,0.4085,4.18,36.35,4.66,0
56.92,0.5692,11.43,31.43,3.9,0
66.86,0.6686,4.14,13.93,2.15,0
51.62,0.5162,9.34,43.1,6.02,0
48.87,0.4887,6.81,17.57,3.75,0
36.3,0.363,6.05,34.4,3.86,0
24.92,0.2492,8.76,29.61,3.05,0
54.74,0.5474,5.52,37.04,4.91,0
25.89,0.2589,4.98,34.95,5.48,0
15.75,0.1575,4.01,9.78,2.49,0
40.48,0.4048,8.92,30.9,3.32,0
73.5,0.735,6.55,22.67,2.31,0
40.53,0.4053,5.65,34.21,4.22,0
43.73,0.4373,8.95,22.7,3.59,0
64.17,0.6417,8.23,24.08,2.47,0
61.83,0.6183,4.73,38.71,4.86,0
65.43,0.6543,6.72,12.1,2.1,0
16.4,0.164,7.81,31.31,3.83,0
85.04,0.8504,6.15,7.31,1.54,0
61.28,0.6128,8.43,16.43,3.22,0
40.25,0.4025,8.23,24.77,3.76,0
62.52,0.6252,8.02,25.86,3.2,0
16.79,0.1679,3.25,12.66,2.54,0
65.45,0.6545,4.21,8.57,0.88,0
29.91,0.2991,3.16,33.83,4.51,0
59.46,0.5946,9.02,40.27,4.4,0
18.48,0.1848,7.67,19.21,2.87,0
71.3,0.713,4.88,8.15,1.62,0
18.05,0.1805,0.46,2.23,1.98,0
27.15,0.2715,5.16,29.62,3.24,0
51.96,0.5196,5.52,29.0,3.92,0
63.06,0.6306,2.84,5.24,1.83,0
57.84,0.5784,12.5,39.12,4.63,0
56.32,0.5632,5.74,24.13,2.58,0
64.75,0.6475,3.13,33.46,4.3,0
38.14,0.3814,1.23,3.97,1.7,0
62.85,0.6285,2.33,27.31,3.74,0
50.8,0.508,13.82,52.78,5.99,1
42.3,0.423,6.09,40.31,4.14,0
25.69,0.2569,2.8,11.03,2.67,0
52.57,0.5257,13.24,39.31,5.49,0
63.46,0.6346,6.82,20.96,3.61,0
43.14,0.4314,5.4,32.58,5.02,0
43.51,0.4351,6.34,15.48,2.68,0
37.05,0.3705,7.33,34.56,4.46,0
18.69,0.1869,6.4,38.15,5.55,0
36.77,0.3677,8.55,45.16,5.37,0
40.1,0.401,3.49,31.53,4.09,0
15.32,0.1532,8.65,22.67,4.13,0
23.44,0.2344,10.99,39.29,4.91,0
70.29,0.7029,0.13,13.44,1.42,0
77.05,0.7705,5.11,7.65,1.36,0
45.63,0.4563,6.62,33.08,4.15,0
85.04,0.8504,4.51,27.15,3.13,0
78.32,0.7832,4.66,25.94,3.22,0
44.39,0.4439,0.76,24.93,4.14,0
66.6,0.666,10.44,45.34,5.49,0
42.36,0.4236,6.55,18.89,2.59,0
68.72,0.6872,6.11,17.51,3.6,0
44.38,0.4438,7.31,22.9,2.54,0
44.99,0.4499,9.38,39.24,4.16,0
42.91,0.4291,7.33,30.46,4.79,0
65.26,0.6526,5.57,26.99,3.76,0
74.95,0.7495,5.37,35.35,5.09,0
68.3,0.683,7.1,23.76,3.49,0
29.79,0.2979,4.57,29.3,4.01,0
29.91,0.2991,3.22,7.79,1.29,0
51.17,0.5117,9.91,16.42,2.19,0
31.97,0.3197,4.74,21.98,2.28,0
74.22,0.7422,3.0,30.46,3.43,0
76.37,0.7637,8.61,16.22,1.69,0
16.19,0.1619,2.92,16.1,1.66,0
17.77,0.1777,6.2,16.39,1.69,0
44.48,0.4448,4.92,17.87,3.78,0
38.77,0.3877,2.76,35.13,3.87,0
44.16,0.4416,2.69,18.35,1.99,0
35.57,0.3557,6.59,35.28,5.16,0
39.63,0.3963,2.2,15.39,2.47,0
51.9,0.519,8.4,41.74,5.14,0
30.82,0.3082,7.08,18.77,3.72,0
72.63,0.7263,7.01,22.69,2.78,0
17.08,0.1708,11.11,35.23,3.64,0
